path	line	fn
gatk-core/src/reference.rs	1116	whole_genome_interval_specs_one_contig
gatk-core/src/reference.rs	1127	intervals_for_hc_none_is_whole_genome
gatk-core/src/reference.rs	1139	reference_base_at_1based_chr_alias_and_uppercase
gatk-core/src/reference.rs	1147	reference_base_at_1based_rejects_zero
gatk-core/src/reference.rs	1153	parse_list_rejects_exclusion_without_dictionary
gatk-core/src/reference.rs	1158	resolve_excludes_mid_segment
gatk-core/src/reference.rs	1172	parse_intervals_cli_string_union_excludes
gatk-core/src/reference.rs	1180	count_acgtn_histogram_chr1_16
gatk-core/src/reference.rs	1193	count_histogram_buckets_non_acgtn_as_n
gatk-core/src/reference.rs	1204	reference_window_cache_evicts_deterministically
gatk-core/src/reference.rs	1216	dictionary_prefers_fai_without_reading_fasta_body
gatk-core/src/reference.rs	1232	samtools_fai_interval_matches_sequential
gatk-core/src/tests/mod.rs	35	new
gatk-core/src/tests/mod.rs	42	path
gatk-core/src/tests/mod.rs	47	create_file
gatk-core/src/tests/mod.rs	54	create_fasta
gatk-core/src/tests/mod.rs	67	create_vcf
gatk-core/src/tests/mod.rs	86	create_bam
gatk-core/src/tests/mod.rs	94	default
gatk-core/src/tests/mod.rs	100	fixture_path
gatk-core/src/tests/mod.rs	138	test_position
gatk-core/src/tests/mod.rs	147	test_allele
gatk-core/src/tests/mod.rs	163	test_sequence
gatk-core/src/tests/mod.rs	177	test_variant
gatk-core/src/tests/mod.rs	191	test_read
gatk-core/src/tests/mod.rs	229	create_test_dataset
gatk-core/src/tests/mod.rs	259	run_integration_test
gatk-core/src/tests/mod.rs	273	measure_time
gatk-core/src/tests/mod.rs	285	benchmark_memory
gatk-core/src/tests/mod.rs	293	assert_performance
gatk-core/src/tests/mod.rs	331	new
gatk-core/src/tests/mod.rs	340	read
gatk-core/src/tests/mod.rs	362	new
gatk-core/src/tests/mod.rs	369	check_error
gatk-core/src/types.rs	44	new
gatk-core/src/types.rs	48	contains
gatk-core/src/types.rs	52	contains_position
gatk-core/src/types.rs	56	length
gatk-core/src/types.rs	62	new
gatk-core/src/types.rs	83	new
gatk-core/src/types.rs	87	value
gatk-core/src/types.rs	91	phred_score
gatk-core/src/types.rs	95	error_probability
gatk-core/src/types.rs	122	from_sam_mapq
gatk-core/src/types.rs	131	as_sam_mapq
gatk-core/src/types.rs	139	score
gatk-core/src/types.rs	148	partial_cmp
gatk-core/src/types.rs	154	cmp
gatk-core/src/types.rs	190	from_char
gatk-core/src/types.rs	201	to_char
gatk-core/src/types.rs	211	complement
gatk-core/src/types.rs	240	new
gatk-core/src/types.rs	244	from_string
gatk-core/src/types.rs	249	length
gatk-core/src/types.rs	253	is_empty
gatk-core/src/types.rs	259	fmt
gatk-core/src/types.rs	304	new
gatk-core/src/types.rs	308	is_hom_ref
gatk-core/src/types.rs	312	is_hom_var
gatk-core/src/types.rs	316	is_het
gatk-core/src/types.rs	346	new
gatk-core/src/types.rs	361	variant_type
gatk-core/src/types.rs	380	add_genotype
gatk-core/src/types.rs	384	set_attribute
gatk-core/src/types.rs	388	alternates
gatk-core/src/types.rs	392	contig
gatk-core/src/types.rs	396	chromosome
gatk-core/src/types.rs	420	new
gatk-core/src/types.rs	428	from_sam
gatk-core/src/types.rs	435	from_vec
gatk-core/src/types.rs	466	new
gatk-core/src/types.rs	484	length
gatk-core/src/types.rs	488	len
gatk-core/src/types.rs	492	is_empty
gatk-core/src/types.rs	496	base_at
gatk-core/src/types.rs	500	quality_at
gatk-core/src/types.rs	504	is_valid_dna
gatk-core/src/types.rs	510	name
gatk-core/src/types.rs	514	average_quality
gatk-core/src/types.rs	527	has_minimum_quality
gatk-core/src/types.rs	534	filter_bases_by_quality
gatk-core/src/utils.rs	7	reverse_complement
gatk-core/src/utils.rs	16	gc_content
gatk-core/src/utils.rs	30	position_in_intervals
gatk-core/src/utils.rs	35	merge_intervals
gatk-core/src/utils.rs	70	hamming_distance
gatk-core/src/utils.rs	79	unique_bases
gatk-core/src/utils.rs	84	is_valid_dna
gatk-core/src/utils.rs	91	base_composition
gatk-core/src/utils.rs	100	phred_to_probability
gatk-core/src/utils.rs	105	probability_to_phred
gatk-core/src/utils.rs	117	average_base_quality
gatk-core/src/utils.rs	127	filter_by_quality
